round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.010804185178130865,0.011289211081102826,100,100,1,mean_squared_error,1,adam
100,0.004503755131736398,0.0026808848693840822,100,100,1,mean_squared_error,2,adam
100,0.004530730657279491,0.002650180714844462,100,100,1,mean_squared_error,3,adam
100,0.004493056912906468,0.0027151896733846655,100,100,1,mean_squared_error,8,adam
100,0.004489764687605202,0.0026878630100541693,100,100,1,mean_squared_error,16,adam
100,0.004497268237173557,0.0026734739385619946,100,100,1,mean_squared_error,32,adam
100,0.004491094965487719,0.0026710379958026728,100,100,1,mean_squared_error,64,adam
100,0.004498058347962797,0.0026635823078117425,100,100,1,mean_squared_error,128,adam
250,0.004760850453749299,0.0031133838672480338,100,250,1,mean_squared_error,1,adam
250,0.004580398555845022,0.002659454838755566,100,250,1,mean_squared_error,2,adam
250,0.004553221515379846,0.0026439039689024214,100,250,1,mean_squared_error,3,adam
250,0.004516821471042931,0.0026523359890158913,100,250,1,mean_squared_error,8,adam
250,0.004513958585448563,0.00265125676325492,100,250,1,mean_squared_error,16,adam
250,0.004521991708315909,0.002655895895448357,100,250,1,mean_squared_error,32,adam
250,0.004514804226346314,0.0026539420688006664,100,250,1,mean_squared_error,64,adam
250,0.00451741274446249,0.002648225564738376,100,250,1,mean_squared_error,128,adam
500,0.004556752624921501,0.002659322930275834,100,500,1,mean_squared_error,1,adam
500,0.004538902547210455,0.0026463936112195554,100,500,1,mean_squared_error,2,adam
500,0.004544944851659238,0.002642521904291291,100,500,1,mean_squared_error,3,adam
500,0.004530451260507107,0.0026452825182960147,100,500,1,mean_squared_error,8,adam
500,0.004538433509878814,0.0026480144351944887,100,500,1,mean_squared_error,16,adam
500,0.0045362942619249225,0.002640696161048473,100,500,1,mean_squared_error,32,adam
500,0.0045343495439738035,0.0026444707545486834,100,500,1,mean_squared_error,64,adam
500,0.004528481629677117,0.0026528326669628534,100,500,1,mean_squared_error,128,adam
750,0.004667313303798437,0.002662578942534283,100,750,1,mean_squared_error,1,adam
750,0.004569528624415398,0.002641348632748115,100,750,1,mean_squared_error,2,adam
750,0.0045772920129820704,0.0026425540395883986,100,750,1,mean_squared_error,3,adam
750,0.004563769907690585,0.0026440803366561505,100,750,1,mean_squared_error,8,adam
750,0.0045474040089175105,0.0026626102894750005,100,750,1,mean_squared_error,16,adam
750,0.004540996509604156,0.002643748980720427,100,750,1,mean_squared_error,32,adam
750,0.004541082424111664,0.0026491935765207337,100,750,1,mean_squared_error,64,adam
750,0.004532580496743321,0.0026543955324465096,100,750,1,mean_squared_error,128,adam
1000,0.0045725153759121895,0.0026769191163818454,100,1000,1,mean_squared_error,1,adam
1000,0.004569074604660273,0.002646849407548351,100,1000,1,mean_squared_error,2,adam
1000,0.004578758962452412,0.0026434215058789667,100,1000,1,mean_squared_error,3,adam
1000,0.004543720628134906,0.002649265573416045,100,1000,1,mean_squared_error,8,adam
1000,0.004536923370324075,0.0026575395464547035,100,1000,1,mean_squared_error,16,adam
1000,0.004540795460343361,0.002642912222399262,100,1000,1,mean_squared_error,32,adam
1000,0.004544543568044901,0.0026649453456660636,100,1000,1,mean_squared_error,64,adam
1000,0.0045412537874653935,0.0026419673396279116,100,1000,1,mean_squared_error,128,adam
