round_epochs,val_loss,loss,batch_sizes,epochs,layers,losses,nodes,optimizers
100,0.0022988711716607213,0.0012727934065130942,100,100,1,mean_squared_error,128,adam
100,0.0022780461004003882,0.0012874855077169831,100,100,2,mean_squared_error,128,adam
100,0.0023889692965894938,0.0013351576446930882,100,100,3,mean_squared_error,128,adam
100,0.0023482873803004622,0.0013219780171420006,100,100,4,mean_squared_error,128,adam
100,0.00230234581977129,0.0012966410026859926,100,100,5,mean_squared_error,128,adam
1000,0.002302527951542288,0.0012795670190461805,100,1000,1,mean_squared_error,128,adam
1000,0.002303644607309252,0.001280774828702216,100,1000,2,mean_squared_error,128,adam
1000,0.0023578504333272576,0.0012895377906207205,100,1000,3,mean_squared_error,128,adam
1000,0.002452410524711013,0.0012537138444052144,100,1000,4,mean_squared_error,128,adam
1000,0.003309703490231186,0.0011945473577244993,100,1000,5,mean_squared_error,128,adam
